% Access-log corpus for adaptive decryption control.
% Natural encoding: categorical attributes kept nominal, counts numeric.
% Class attribute is risk_level: 0=LOW, 1=MEDIUM, 2=HIGH.
@relation access_logs_train

@attribute user_role {customer,moderator,admin}
@attribute resource_sensitivity {LOW,MEDIUM,HIGH}
@attribute is_office_hours {0,1}
@attribute record_owner_match {0,1}
@attribute recent_request_count numeric
@attribute failed_attempt_count numeric
@attribute risk_level {0,1,2}

@data
moderator,MEDIUM,1,0,3,0,0
customer,LOW,1,1,6,0,0
customer,MEDIUM,1,1,4,0,0
customer,LOW,0,1,4,0,0
moderator,HIGH,1,0,6,0,2
customer,LOW,0,1,1,7,2
customer,LOW,1,1,6,0,0
moderator,LOW,1,0,4,0,0
customer,LOW,1,1,5,1,0
customer,LOW,1,1,4,0,0
customer,LOW,1,1,4,0,0
customer,LOW,1,0,2,0,1
customer,MEDIUM,1,1,5,0,0
customer,LOW,1,1,7,0,0
customer,MEDIUM,1,1,4,0,0
customer,MEDIUM,1,0,4,0,2
customer,MEDIUM,1,1,3,2,0
customer,HIGH,1,1,7,0,0
customer,MEDIUM,0,1,3,0,0
customer,MEDIUM,0,1,5,0,0
customer,LOW,1,1,0,0,0
customer,LOW,1,1,3,0,0
customer,LOW,1,1,5,0,0
moderator,HIGH,1,1,5,0,2
customer,LOW,1,1,3,8,2
customer,LOW,1,1,40,0,2
customer,HIGH,1,1,4,0,0
customer,LOW,1,1,1,0,0
customer,LOW,0,1,8,3,0
customer,LOW,1,1,2,5,2
moderator,LOW,1,0,2,0,0
customer,HIGH,1,1,8,0,0
customer,LOW,1,1,3,0,0
customer,HIGH,1,1,6,1,0
customer,LOW,1,0,4,0,1
customer,MEDIUM,1,1,4,1,0
customer,LOW,0,1,4,0,0
admin,LOW,1,0,3,0,0
customer,LOW,1,1,0,0,0
customer,LOW,1,1,3,3,0
customer,LOW,1,1,0,0,0
customer,HIGH,1,1,4,0,0
moderator,LOW,1,0,3,0,0
moderator,MEDIUM,1,0,6,0,0
customer,MEDIUM,1,1,2,0,1
customer,MEDIUM,1,1,3,0,0
admin,HIGH,1,1,3,0,0
moderator,LOW,1,0,7,0,0
customer,MEDIUM,0,1,3,0,0
customer,LOW,1,1,2,0,0
